CVE_ID,type_info,delta_t,Published_date,Severity
CVE-2018-16762,github,62.0,2018-09-09T21:29Z,CRITICAL
CVE-2020-0416,twitter,7.0,2020-10-14T14:15Z,HIGH
CVE-2020-11897,twitter,1.0,2020-06-17T11:15Z,CRITICAL
CVE-2020-35517,github,108.0,2021-01-28T20:15Z,HIGH
CVE-2020-15231,github,92.0,2020-10-02T20:15Z,MEDIUM
CVE-2016-1542,twitter,103.0,2016-06-13T14:59Z,HIGH
CVE-2019-4028,twitter,4.0,2019-03-05T18:29Z,MEDIUM
CVE-2019-4092,twitter,2.0,2019-04-25T15:29Z,MEDIUM
CVE-2019-10260,github,42.0,2019-03-28T17:29Z,MEDIUM
CVE-2016-7037,github,140.0,2017-01-23T21:59Z,HIGH
CVE-2017-12642,github,29.0,2017-08-07T15:29Z,HIGH
CVE-2019-17522,github,16.0,2019-10-12T18:15Z,MEDIUM
CVE-2018-16210,twitter,43.0,2018-10-12T22:15Z,MEDIUM
CVE-2018-13112,github,0.0,2018-07-03T17:29Z,HIGH
CVE-2019-19727,twitter,23.0,2020-01-13T19:15Z,MEDIUM
CVE-2018-13093,github,54.0,2018-07-03T10:29Z,MEDIUM
CVE-2021-32284,github,385.0,2021-09-20T16:15Z,HIGH
CVE-2019-12950,github,42.0,2019-08-06T17:15Z,MEDIUM
CVE-2017-18352,github,480.0,2018-12-17T07:29Z,MEDIUM
CVE-2019-9315,twitter,44.0,2019-09-27T19:15Z,MEDIUM
CVE-2021-3660,redhat,244.0,2022-03-10T17:42Z,MEDIUM
CVE-2020-5946,twitter,3.0,2020-11-05T20:15Z,HIGH
CVE-2017-0648,twitter,1.0,2017-06-14T13:29Z,HIGH
CVE-2020-28991,github,12.0,2020-11-24T01:15Z,CRITICAL
CVE-2019-13618,github,42.0,2019-07-16T17:15Z,HIGH
CVE-2021-38434,twitter,4.0,2021-10-18T13:15Z,HIGH
CVE-2019-20827,twitter,299.0,2020-06-04T17:15Z,CRITICAL
CVE-2020-29323,twitter,157.0,2021-06-04T20:15Z,HIGH
CVE-2021-21595,twitter,5.0,2021-08-16T22:15Z,MEDIUM
CVE-2017-5488,github,3.0,2017-01-15T02:59Z,MEDIUM
CVE-2017-15640,github,177.0,2018-04-21T21:29Z,MEDIUM
CVE-2020-17027,twitter,259.0,2020-11-11T07:15Z,HIGH
CVE-2019-7776,twitter,1.0,2019-05-22T14:29Z,HIGH
CVE-2021-45702,twitter,1.0,2021-12-27T00:15Z,HIGH
CVE-2017-0809,twitter,1.0,2017-10-04T01:29Z,HIGH
CVE-2018-1000829,github,81.0,2018-12-20T15:29Z,CRITICAL
CVE-2017-6023,twitter,1.0,2017-03-16T04:59Z,CRITICAL
CVE-2019-14093,twitter,22.0,2020-07-30T12:15Z,HIGH
CVE-2016-9400,github,109.0,2017-02-22T16:59Z,CRITICAL
CVE-2021-0063,twitter,200.0,2021-11-17T20:15Z,MEDIUM
CVE-2020-0225,twitter,2.0,2020-07-17T21:15Z,CRITICAL
CVE-2020-10731,redhat,87.0,2020-07-31T13:15Z,CRITICAL
CVE-2019-13224,github,4.0,2019-07-10T14:15Z,CRITICAL
CVE-2021-40285,github,471.0,2022-08-26T13:15Z,HIGH
CVE-2019-1189,twitter,200.0,2020-01-24T22:15Z,
CVE-2017-16661,github,1.0,2017-11-08T05:29Z,MEDIUM
CVE-2021-3420,twitter,3.0,2021-03-05T21:15Z,CRITICAL
CVE-2021-44956,github,229.0,2022-02-08T15:15Z,MEDIUM
CVE-2021-27678,github,17.0,2021-03-11T17:15Z,MEDIUM
CVE-2017-12587,github,33.0,2017-08-06T14:29Z,HIGH
CVE-2021-42321,twitter,1.0,2021-11-10T01:19Z,HIGH
CVE-2017-9070,twitter,37.0,2017-05-18T16:29Z,MEDIUM
CVE-2017-8352,github,4.0,2017-04-30T17:59Z,MEDIUM
CVE-2016-7510,redhat,153.0,2017-02-17T17:59Z,MEDIUM
CVE-2018-12383,twitter,42.0,2018-10-18T13:29Z,MEDIUM
CVE-2019-14745,github,8.0,2019-08-07T15:15Z,HIGH
CVE-2019-8160,twitter,1.0,2019-10-17T21:15Z,MEDIUM
CVE-2021-4097,github,1.0,2021-12-12T00:15Z,MEDIUM
CVE-2020-4061,github,14.0,2020-07-02T17:15Z,MEDIUM
CVE-2019-18232,twitter,4.0,2019-12-11T23:15Z,HIGH
CVE-2019-1000020,github,19.0,2019-02-04T21:29Z,MEDIUM
CVE-2020-0587,twitter,1.0,2020-11-12T18:15Z,MEDIUM
CVE-2019-0284,twitter,1.0,2019-04-10T21:29Z,MEDIUM
CVE-2021-45901,twitter,7.0,2022-02-10T14:15Z,MEDIUM
CVE-2021-42786,twitter,1.0,2022-03-10T17:44Z,CRITICAL
CVE-2016-9575,redhat,482.0,2018-03-13T13:29Z,MEDIUM
CVE-2020-11767,github,543.0,2020-04-15T02:15Z,LOW
CVE-2018-15846,github,19.0,2018-08-25T21:29Z,HIGH
CVE-2019-20399,github,111.0,2020-01-23T00:15Z,MEDIUM
CVE-2017-6086,twitter,55.0,2017-06-27T20:29Z,HIGH
CVE-2017-13003,github,0.0,2017-09-14T06:29Z,CRITICAL
CVE-2021-46044,github,15.0,2022-01-06T21:15Z,MEDIUM
CVE-2018-8172,twitter,1.0,2018-07-11T00:29Z,HIGH
CVE-2021-39592,github,410.0,2021-09-20T16:15Z,MEDIUM
CVE-2021-22664,twitter,5.0,2021-04-27T13:15Z,HIGH
CVE-2021-46538,github,27.0,2022-01-27T21:15Z,MEDIUM
CVE-2020-28953,github,22.0,2020-11-19T22:15Z,MEDIUM
CVE-2018-0708,twitter,5.0,2018-07-17T01:29Z,HIGH
CVE-2017-12097,twitter,8.0,2018-01-19T20:29Z,MEDIUM
CVE-2018-18420,twitter,1.0,2018-10-19T22:29Z,HIGH
CVE-2020-3776,twitter,7.0,2020-03-25T21:15Z,HIGH
